OpenMP,0,1.5865,7.5072,1.6498
OpenMP,1,1.6941,7.5072,1.6498
OpenMP,2,1.5102,7.5072,1.6498
OpenMP,3,1.4996,7.5072,1.6498
OpenMP,4,1.6107,7.5072,1.6498
OpenMP,5,1.5202,7.5072,1.6498
OpenMP,6,1.6732,7.5072,1.6498
OpenMP,7,1.4872,7.5072,1.6498
OpenMP,8,1.6689,7.5072,1.6498
OpenMP,9,1.4394,7.5072,1.6498
OpenMP,10,1.5425,7.5072,1.6498
OpenMP,11,1.6590,7.5072,1.6498
OpenMP,12,1.5852,7.5072,1.6498
OpenMP,13,1.4171,7.5072,1.6498
OpenMP,14,1.6442,7.5072,1.6498
OpenMP,15,2.8587,7.5072,1.6498
MPI,0,2.4560,2.5193,2.3809
MPI,1,1.9611,2.5193,2.3809
MPI,2,2.5052,2.5193,2.3809
MPI,3,2.5154,2.5193,2.3809
MPI,4,2.0570,2.5193,2.3809
MPI,5,2.5002,2.5193,2.3809
MPI,6,2.4179,2.5193,2.3809
MPI,7,2.4563,2.5193,2.3809
MPI,8,2.0648,2.5193,2.3809
MPI,9,2.5097,2.5193,2.3809
MPI,10,2.4274,2.5193,2.3809
MPI,11,2.5203,2.5193,2.3809
MPI,12,2.3506,2.5193,2.3809
MPI,13,2.4732,2.5193,2.3809
MPI,14,2.3770,2.5193,2.3809
MPI,15,2.5017,2.5193,2.3809
MPI + OpenMP,0,2.6831,2.8269,2.7062
MPI + OpenMP,1,2.5075,2.8269,2.7062
MPI + OpenMP,2,2.3200,2.8269,2.7062
MPI + OpenMP,3,2.8174,2.8269,2.7062
MPI + OpenMP,4,1.6801,2.8269,2.7062
MPI + OpenMP,5,2.7709,2.8269,2.7062
MPI + OpenMP,6,2.8423,2.8269,2.7062
MPI + OpenMP,7,2.3777,2.8269,2.7062
MPI + OpenMP,8,2.8204,2.8269,2.7062
MPI + OpenMP,9,2.8122,2.8269,2.7062
MPI + OpenMP,10,2.4266,2.8269,2.7062
MPI + OpenMP,11,2.8642,2.8269,2.7062
MPI + OpenMP,12,2.7366,2.8269,2.7062
MPI + OpenMP,13,2.7333,2.8269,2.7062
MPI + OpenMP,14,2.6295,2.8269,2.7062
MPI + OpenMP,15,4.2773,2.8269,2.7062
OpenMP,0,2.0804,12.2942,2.8059
OpenMP,1,2.4448,12.2942,2.8059
OpenMP,2,3.0589,12.2942,2.8059
OpenMP,3,3.7047,12.2942,2.8059
OpenMP,4,2.0815,12.2942,2.8059
OpenMP,5,2.2474,12.2942,2.8059
OpenMP,6,3.0502,12.2942,2.8059
OpenMP,7,2.6592,12.2942,2.8059
OpenMP,8,2.0716,12.2942,2.8059
OpenMP,9,2.2467,12.2942,2.8059
OpenMP,10,3.1022,12.2942,2.8059
OpenMP,11,3.8523,12.2942,2.8059
OpenMP,12,2.1004,12.2942,2.8059
OpenMP,13,2.2313,12.2942,2.8059
OpenMP,14,3.5457,12.2942,2.8059
OpenMP,15,4.4165,12.2942,2.8059
MPI,0,1.2929,1.5508,0.3672
MPI,1,1.5507,1.5508,0.3672
MPI,2,1.5160,1.5508,0.3672
MPI,3,1.5159,1.5508,0.3672
MPI,4,0.0000,1.5508,0.3672
MPI,5,0.0000,1.5508,0.3672
MPI,6,0.0000,1.5508,0.3672
MPI,7,0.0000,1.5508,0.3672
MPI,8,0.0000,1.5508,0.3672
MPI,9,0.0000,1.5508,0.3672
MPI,10,0.0000,1.5508,0.3672
MPI,11,0.0000,1.5508,0.3672
MPI,12,0.0000,1.5508,0.3672
MPI,13,0.0000,1.5508,0.3672
MPI,14,0.0000,1.5508,0.3672
MPI,15,0.0000,1.5508,0.3672
MPI,0,2.9227,4.2804,2.9681
MPI,1,3.0769,4.2804,2.9681
MPI,2,3.0358,4.2804,2.9681
MPI,3,2.3888,4.2804,2.9681
MPI,4,2.7999,4.2804,2.9681
MPI,5,3.1311,4.2804,2.9681
MPI,6,2.6547,4.2804,2.9681
MPI,7,2.8518,4.2804,2.9681
MPI,8,2.7347,4.2804,2.9681
MPI,9,2.6890,4.2804,2.9681
MPI,10,3.0178,4.2804,2.9681
MPI,11,2.6661,4.2804,2.9681
MPI,12,3.1311,4.2804,2.9681
MPI,13,3.0081,4.2804,2.9681
MPI,14,3.0936,4.2804,2.9681
MPI,15,4.2876,4.2804,2.9681
MPI + OpenMP,0,2.8537,2.9462,2.9937
MPI + OpenMP,1,2.9426,2.9462,2.9937
MPI + OpenMP,2,2.8507,2.9462,2.9937
MPI + OpenMP,3,2.9053,2.9462,2.9937
MPI + OpenMP,4,2.8532,2.9462,2.9937
MPI + OpenMP,5,2.7983,2.9462,2.9937
MPI + OpenMP,6,2.9067,2.9462,2.9937
MPI + OpenMP,7,2.8904,2.9462,2.9937
MPI + OpenMP,8,2.8301,2.9462,2.9937
MPI + OpenMP,9,2.8013,2.9462,2.9937
MPI + OpenMP,10,2.8539,2.9462,2.9937
MPI + OpenMP,11,3.1769,2.9462,2.9937
MPI + OpenMP,12,2.8497,2.9462,2.9937
MPI + OpenMP,13,2.9864,2.9462,2.9937
MPI + OpenMP,14,2.9938,2.9462,2.9937
MPI + OpenMP,15,4.4055,2.9462,2.9937
MPI + OpenMP,0,4.1947,4.1997,3.3388
MPI + OpenMP,1,3.5326,4.1997,3.3388
MPI + OpenMP,2,3.7611,4.1997,3.3388
MPI + OpenMP,3,3.4215,4.1997,3.3388
MPI + OpenMP,4,3.6970,4.1997,3.3388
MPI + OpenMP,5,3.2870,4.1997,3.3388
MPI + OpenMP,6,2.6916,4.1997,3.3388
MPI + OpenMP,7,2.2383,4.1997,3.3388
MPI + OpenMP,8,3.3202,4.1997,3.3388
MPI + OpenMP,9,3.3482,4.1997,3.3388
MPI + OpenMP,10,3.4711,4.1997,3.3388
MPI + OpenMP,11,4.0120,4.1997,3.3388
MPI + OpenMP,12,2.4181,4.1997,3.3388
MPI + OpenMP,13,3.1800,4.1997,3.3388
MPI + OpenMP,14,3.0313,4.1997,3.3388
MPI + OpenMP,15,3.8156,4.1997,3.3388
OpenMP,0,1.7505,4.5914,1.8324
OpenMP,1,1.6707,4.5914,1.8324
OpenMP,2,1.9201,4.5914,1.8324
OpenMP,3,1.5948,4.5914,1.8324
OpenMP,4,1.8409,4.5914,1.8324
OpenMP,5,1.7277,4.5914,1.8324
OpenMP,6,1.9799,4.5914,1.8324
OpenMP,7,1.5020,4.5914,1.8324
OpenMP,8,1.7423,4.5914,1.8324
OpenMP,9,1.6162,4.5914,1.8324
OpenMP,10,1.8262,4.5914,1.8324
OpenMP,11,2.1476,4.5914,1.8324
OpenMP,12,1.9619,4.5914,1.8324
OpenMP,13,1.4471,4.5914,1.8324
OpenMP,14,2.0866,4.5914,1.8324
OpenMP,15,2.5044,4.5914,1.8324
MPI,0,2.2663,2.9589,2.3803
MPI,1,2.8350,2.9589,2.3803
MPI,2,2.9604,2.9589,2.3803
MPI,3,1.7764,2.9589,2.3803
MPI,4,2.5998,2.9589,2.3803
MPI,5,2.8984,2.9589,2.3803
MPI,6,2.9800,2.9589,2.3803
MPI,7,1.5533,2.9589,2.3803
MPI,8,2.3706,2.9589,2.3803
MPI,9,2.0805,2.9589,2.3803
MPI,10,2.6155,2.9589,2.3803
MPI,11,2.7059,2.9589,2.3803
MPI,12,1.7469,2.9589,2.3803
MPI,13,2.2122,2.9589,2.3803
MPI,14,2.4279,2.9589,2.3803
MPI,15,2.0551,2.9589,2.3803
MPI + OpenMP,0,2.0227,2.7378,2.5174
MPI + OpenMP,1,2.1050,2.7378,2.5174
MPI + OpenMP,2,2.1824,2.7378,2.5174
MPI + OpenMP,3,2.7364,2.7378,2.5174
MPI + OpenMP,4,2.5918,2.7378,2.5174
MPI + OpenMP,5,2.7742,2.7378,2.5174
MPI + OpenMP,6,2.7546,2.7378,2.5174
MPI + OpenMP,7,2.3150,2.7378,2.5174
MPI + OpenMP,8,2.1518,2.7378,2.5174
MPI + OpenMP,9,2.5312,2.7378,2.5174
MPI + OpenMP,10,2.7533,2.7378,2.5174
MPI + OpenMP,11,2.8225,2.7378,2.5174
MPI + OpenMP,12,2.6315,2.7378,2.5174
MPI + OpenMP,13,2.6183,2.7378,2.5174
MPI + OpenMP,14,2.8406,2.7378,2.5174
MPI + OpenMP,15,2.4475,2.7378,2.5174
MPI + OpenMP,0,1.7143,2.7097,2.4551
